"","ref","system","input_mode","tl","l1","proficiency_level","age","context","treatment_length_weeks","treatment_hours","exp_design","dep_var_grp","dep_var","dep_var_det","dep_var_modality","m_t_pre","sd_t_pre","m_t_post","sd_t_post","m_c_pre","sd_c_pre","m_c_post","sd_c_post","n_treatment","n_control","team","sample","study","dial_type","syst_type","cf","init","dial_model","embodied","robot","vworld","gamified","yi","vi"
"24","Bouillon et al 2011","CALL-SLT","S","fr","zh","A2","18+","university",1,3,"pre-post","Writing","Accuracy","Grammar/syntax test","written",54.4,26.88329,78.5,17.32852,NA,NA,NA,NA,10,0,16,30,24,"Meaning-constrained","Goal-oriented","Explicit","System","Matching",TRUE,FALSE,FALSE,FALSE,1.02047360317085,0.226034159369212
"25","Wolska & Wilske 2010b","[Wilske2]","W","de","mixed","mixed","18+","university",5,1,"pre-post-alternate","Writing","Accuracy","Grammaticality Judgement Test","written",77.38,19.07,88.1,20.89,NA,NA,NA,NA,7,0,6,22,25,"Contextualized","Goal-oriented","Implicit","System","Graph (+ certain variables)",FALSE,FALSE,TRUE,FALSE,0.50164694622373,0.294701773523414
"26","Wolska & Wilske 2010a","[Wilske2]","W","de","mixed","A2","18+","university",6,1,"pre-post-alternate","Writing","Accuracy","Grammaticality Judgement Test","written",61.76,26.24,83.33,13.63,NA,NA,NA,NA,6,0,6,23,26,"Contextualized","Goal-oriented","Implicit","System","Graph (+ certain variables)",FALSE,FALSE,TRUE,FALSE,0.951948139106272,0.371091885814496
"27","Wilske & Wolska 2011","[Wilske2]","W","de","mixed","mixed","18+","university",3,1,"pre-post-alternate","Writing","Accuracy","Grammaticality Judgement Test","written",58.05,19.85195,71.8,17.94436,NA,NA,NA,NA,20,0,6,21,27,"Contextualized","Goal-oriented","Implicit","System","Graph (+ certain variables)",FALSE,FALSE,TRUE,FALSE,0.712206389049574,0.106340474257538
"28","Wolska & Wilske 2010b","[Wilske2]","W","de","mixed","mixed","18+","university",5,1,"pre-post-alternate","Writing","Accuracy","Sentence Construction Test","written",83.33,21.52,90.48,18.9,NA,NA,NA,NA,7,0,6,22,28,"Contextualized","Goal-oriented","Implicit","System","Graph (+ certain variables)",FALSE,FALSE,TRUE,FALSE,0.33042898628728,0.289613689820673
"29","Wolska & Wilske 2010a","[Wilske2]","W","de","mixed","A2","18+","university",6,1,"pre-post-alternate","Writing","Accuracy","Sentence Construction Test","written",51.85,29.54,70.37,34.19,NA,NA,NA,NA,6,0,6,23,29,"Contextualized","Goal-oriented","Implicit","System","Graph (+ certain variables)",FALSE,FALSE,TRUE,FALSE,0.534879648608844,0.34525400993733
"30","Wilske & Wolska 2011","[Wilske2]","W","de","mixed","mixed","18+","university",3,1,"pre-post-alternate","Writing","Accuracy","Sentence Construction Test","written",43.7619,29.99127,58.42857,29.54738,NA,NA,NA,NA,21,0,6,21,30,"Contextualized","Goal-oriented","Implicit","System","Graph (+ certain variables)",FALSE,FALSE,TRUE,FALSE,0.483358251677037,0.0980194666602891
"31","Noh et al 2012","POMY","S","en","kr","NA","11-14","primary school",3,8,"pre-post","Writing","Vocabulary","undisclosed test","written",74,31.4,117.6,32.7,NA,NA,NA,NA,40,0,2,10,31,"Contextualized","Goal-oriented","Implicit","User + mixed","Probabilistic matching (Levenstein distance with corpus utterances)",FALSE,FALSE,FALSE,TRUE,1.34696779600594,0.0613395140217318
"32","Jia et al 2013","CSIEC","W","en","zh","mixed","11-14","secondary school",9,6,"pre-post-control","Writing","Vocabulary","undisclosed test","written",72.3,12.11,91.4,8.81,80,9,93.7,4.77,37,34,1,1,32,"Free","Reactive","No","User","Matching",FALSE,FALSE,FALSE,FALSE,-0.0955624482423707,0.160401421023078
"33","Jia et al 2013","CSIEC","W","en","zh","mixed","11-14","secondary school",9,6,"pre-post-control","Writing","Vocabulary","undisclosed test","written",31.9,14.24,61.6,14.68,38.6,23.97,63.9,22.05,56,56,1,25,33,"Free","Reactive","No","User","Matching",FALSE,FALSE,FALSE,FALSE,0.948608349323156,0.0953153329199699
"34","Jia et al 2013","CSIEC","W","en","zh","mixed","11-14","secondary school",9,6,"pre-post-control","Writing","Vocabulary","undisclosed test","written",74.4,18.4,92.6,14.32,73,15.6,90.1,13.93,48,47,1,26,34,"Free","Reactive","No","User","Matching",FALSE,FALSE,FALSE,FALSE,-0.0517553916543403,0.0974617221186813
"35","Bouillon et al 2011","CALL-SLT","S","fr","zh","A2","18+","university",1,3,"pre-post","Writing","Vocabulary","Translation test","written",17.8,12.60335,67.6,20.55994,NA,NA,NA,NA,10,0,16,30,35,"Meaning-constrained","Goal-oriented","Explicit","System","Matching",TRUE,FALSE,FALSE,FALSE,2.79675179602371,0.395545515214047
"36","Rosenthal-von der Putten et al 2016","[Rosenthal]","S","de","mixed","mixed","18+","university",1,1,"pre-post-alternate","Writing","Vocabulary","Cloze test","written",55.77,19.43,51.9,17.09,NA,NA,NA,NA,130,0,17,31,36,"Meaning-constrained","Goal-oriented","No","System",NA,TRUE,TRUE,FALSE,FALSE,-0.210889401709388,0.0154701429610641
